,
#page,
PEERLESS INSIGHTS,
DTV-010 Feature Prioritization,
August 2025,
Table 1,
"Q12: In an average week, about how much time do you spend watching TV or video content?",
Base: Total Respondents,
,
,Total
,A
Base,3439
Less than 1 hour,55
,1.60%
Between 1 and 3 hours,171
,4.97%
Between 4 and 5 hours,300
,8.72%
Between 6 and 7 hours,271
,7.88%
Between 8 and 9 hours,270
,7.85%
Between 10 and 14 hours,702
,20.41%
15 hours or more,1639
,47.66%
Don't know,31
,0.90%
Sigma,3439
,100.00%
,
#page,
PEERLESS INSIGHTS,
DTV-010 Feature Prioritization,
August 2025,
Table 2,
Q16: You mentioned that you have a Smart TV. What brand is your TV?,
Base: Total Respondents,
,
,Total
,A
Base,3439
LG,331
,9.62%
Vizio,389
,11.31%
Sony,182
,5.29%
Samsung,870
,25.30%
TCL,189
,5.50%
Hisense,131
,3.81%
Insignia,57
,1.66%
JVC,13
,0.38%
"Other, please specify",128
,3.72%
No Answer,1149
,33.41%
Sigma,3439
,100.00%
,
#page,
PEERLESS INSIGHTS,
DTV-010 Feature Prioritization,
August 2025,
Table 3,
Q17: How many TVs do you have in your home?,
Base: Total Respondents,
,
,Total
,A
Base,3439
1,763
,22.19%
2,1075
,31.26%
3,846
,24.60%
4,489
,14.22%
5 or more TVs,266
,7.73%
Sigma,3439
,100.00%
,
#page,
PEERLESS INSIGHTS,
DTV-010 Feature Prioritization,
August 2025,
Table 4,
Q20: What type of area do you live in?,
Base: Total Respondents,
,
,Total
,A
Base,3439
An urban setting,839
,24.40%
A suburban setting,1450
,42.16%
A smaller city or larger town,486
,14.13%
Countryside or rural setting,664
,19.31%
Sigma,3439
,100.00%
,
#page,
PEERLESS INSIGHTS,
DTV-010 Feature Prioritization,
August 2025,
Table 5,
Q22: What is your marital status?,
Base: Total Respondents,
,
,Total
,A
Base,3439
Married or living with a partner,1701
,49.46%
Widowed,187
,5.44%
Separated or divorced,515
,14.98%
"Single, never married",1028
,29.89%
Prefer not to say,8
,0.23%
Sigma,3439
,100.00%
,
#page,
PEERLESS INSIGHTS,
DTV-010 Feature Prioritization,
August 2025,
Table 6,
Q23: Do you currently rent or own your residence?,
Base: Total Respondents,
,
,Total
,A
Base,3439
Rent,1287
,37.42%
Own,2059
,59.87%
"Other, please specify",93
,2.70%
Sigma,3439
,100.00%
,
#page,
PEERLESS INSIGHTS,
DTV-010 Feature Prioritization,
August 2025,
Table 7,
"Q24: Are you the parent or guardian of any children under 18 years old, who live in your household?",
Base: Total Respondents,
,
,Total
,A
Base,3439
Yes,914
,26.58%
No,2525
,73.42%
Sigma,3439
,100.00%
,
#page,
PEERLESS INSIGHTS,
DTV-010 Feature Prioritization,
August 2025,
Table 8,
Q26: Which of the following best describes your employment status?,
Base: Total Respondents,
,
,Total
,A
Base,3439
Employed full time (35+ hours per week),1492
,43.38%
Employed part time (less than 35 hours per week),377
,10.96%
Retired,880
,25.59%
A student,68
,1.98%
A homemaker,214
,6.22%
Not employed,380
,11.05%
I prefer not to answer,28
,0.81%
Sigma,3439
,100.00%
,
#page,
PEERLESS INSIGHTS,
DTV-010 Feature Prioritization,
August 2025,
Table 9,
S10B: How much time do you spend watching Sports?,
Base: Total Respondents,
,
,Total
,A
Base,3439
Less than 1 hour per week,1282
,37.28%
Between 1 hour to 4 hours per week,992
,28.85%
Between 5 to 10 hours per week,651
,18.93%
More than 10 hours per week,514
,14.95%
Sigma,3439
,100.00%
,
#page,
PEERLESS INSIGHTS,
DTV-010 Feature Prioritization,
August 2025,
Table 10,
S2: What is your gender?,
Base: Total Respondents,
,
,Total
,A
Base,3439
Male,1690
,49.14%
Female,1723
,50.10%
Non-binary,23
,0.67%
My gender is not listed above,1
,0.03%
Prefer not to answer,2
,0.06%
Sigma,3439
,100.00%
,
#page,
PEERLESS INSIGHTS,
DTV-010 Feature Prioritization,
August 2025,
Table 11,
S5: You mentioned that you subscribe to a cable or satellite TV provider. Which of the following do you subscribe to?,
