record,uuid,date,markers,vboost,hboost,hQC_FINAL,S1,S2,hAGE,hGender,S3r1,S3r2,S3r3,S3r4,S3r5,S3r6,S3r7,S3r8,S3r9,S4r1,S4r2,S4r3,S4r4,S4r5,S4r6,S5,S6r1,S6r2,S6r3,S6r4,S6r5,S6r6,S6r7,S6r8,S6r9,S6r99,S6r100,S6a,S6b,S7r1,S7r2,S7r3,S7r4,S7r5,S7r6,S7r7,S7r8,S7r9,S7r10,S7r11,S7r12,S7r13,S7r14,S7r15,S7r16,S7r99,S7r100,S7a,S8a,hMVPD,h_vMVPD,h_SVOD,S8b,PRIMARY_TV,S9,S10B,hSports,Q1,Q2r1,Q2r2,Q2r3,Q2r4,Q2r5,Q2r6,Q3r1,Q3r2,Q3r3,Q3r4,Q3r5,Q3r6,Q3r7,Q3r8,Q3r9,Q3r10,Q3r11,Q3r12,Q3r13,Q3r14,Q3r15,Q3r16,Q3r17,Q3r18,Q3r19,Q3r20,Q3r21,Q3r22,Q3r23,Q3r24,Q3r25,Q3r26,Q3r27,Q3r28,Q3r29,Q3r30,Q3r31,Q3r32,Q3r33,Q3r34,Q3r35,Q3r36,Q3r37,Q3r38,Q3r39,Q3r40,Q3r41,Q3r42,Q3r43,Q3r44,Q3r45,Q3r46,Q3r47,Q3r48,Q3r49,Q3r50,Q3r51,Q3r52,Q3r53,Q3r54,Q3r55,Q3r56,Q3r57,Q3r58,Q3r59,Q3r60,Q3r61,Q3r62,Q3r63,Q3r64,Q3r65,Q3r66,Q3r67,Q3r68,Q3r69,Q3r70,Q3r71,Q3r99,QC_FLAG_1,Q4,Q5r1,Q5r2,Q5r3,Q5r4,Q5r5,Q5r6,QC_FLAG_2,Q6,Q7,MD_Version,MD_1best,MD_1worst,MD_2best,MD_2worst,MD_3best,MD_3worst,MD_4best,MD_4worst,MD_5best,MD_5worst,MD_6best,MD_6worst,MD_7best,MD_7worst,MD_8best,MD_8worst,MD_9best,MD_9worst,MD_10best,MD_10worst,MD_11best,MD_11worst,MD_12best,MD_12worst,MD_13best,MD_13worst,MD_14best,MD_14worst,MD_15best,MD_15worst,MD_16best,MD_16worst,MD_17best,MD_17worst,MD_18best,MD_18worst,MD_19best,MD_19worst,MD_20best,MD_20worst,MD_Timer,Q8r1,Q8r2,Q8r3,Q8r4,Q8r5,Q8r6,Q8r7,Q8r8,Q10r1,Q10r2,Q12,S10r1,S10r2,S10r3,S10r4,S10r5,S10r6,S10r7,S10r8,S10r9,S10r10,S10r11,S10r12,S10r13,S10r14,S10r15,S10r16,S10r17,S10r18,S10r19,S10r20,S10r21,S10r22,S10r23,S10r24,S10r99,Q13r1,Q13r2,Q13r3,Q13r4,Q13r5,Q13r6,Q13r7,Q13r8,Q13r9,Q13r10,Q13r11,Q13r12,Q13r13,Q13r99,Q13r100,Q14r1,Q14r2,Q14r3,Q14r4,Q14r5,Q14r6,Q14r7,Q14r8,Q14r9,Q14r10,Q14r11,Q14r12,Q14r13,Q14r99,Q14r100,Q15r1,Q15r2,Q15r3,Q15r4,Q15r5,Q15r6,Q15r7,Q15r8,Q15r9,Q15r10,Q15r11,Q15r12,Q15r13,Q15r14,Q15r15,Q15r99,Q16,Q17,Q18r1,Q18r2,Q18r3,Q18r4,Q18r5,QC_FLAG_3,Q19r1,Q19r2,Q20,Q22,Q23,Q24,Q26,vlist,qtime,vos,vbrowser,vmobiledevice,vmobileos,start_date,vdropout,cov_TV_usage,smart_TV,MD_Cluster_3,MD_Cluster_4,MD_Cluster_5
17,pdxxkfp5z4x0sjh9,06-Sep-23,"qualified,ver_9,/MD_Maxdiff/ver_9,/overall/qual,/gen_pop_samp/ge",1,0,0,32,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,2,0,1,0,1,0,0,1,1,0,0,0, , ,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,120, ,2,2,2,2,3,1,3,2,8,10,8,8,8,7,8,3,3,4,3,4,3,3,4,2,4,4,4,4,3,3,4,4,3,3,3,4,3,4,4,5,3,3,2,3,4,4,3,4,3,3,4,4,3,3,4,4,3,3,3,2,4,4,1,2,3,4,2,2,3,4,4,3,4,4,4,3,2,3,5,3,4,2,3,2,3,4,2,1,10,8,8,9,8,8,4,1,8,7,9,13,41,47,54,56,27,68,3,52,55,60,20,39,51,63,17,29,53,1,2,71,28,64,42,18,43,45,25,32,9,1,33,10,61,40,8,5,16,28,56,3.07,4,5, ,3, , ,2,1,0,1,4,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0, , ,0, ,1, ,0, , ,0,1,1, , ,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,4,3,6,6,2,5,3,2,5,5,1,1,2,1,1,1,949.19,14,10,1,2,06-Sep-23, ,2,1,1,2,4
19,8sxrhwk566x44rjn,06-Sep-23,"qualified,/boost2/genAGE_2,ver_114,/MD_Maxdiff/ver_114,/overall/",3,2,1,40,1,2,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,6,0,0,0,0,0,0,0,0,0,0,1, , ,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,159,1,2,1,2,6,1,1,3,2,7,7,7,7,8,8,7,4,4,3,3,4,4,3,4,4,3,4,4,3,4,3,3,4,4,3,4,4,4,4,5,4,4,3,4,5,4,3,2,4,3,2,5,3,3,3,3,3,4,3,3,3,4,3,4,4,4,3,4,3,4,3,3,3,4,4,4,3,4,4,4,4,4,3,4,4,3,3,4,0,5,7,8,6,4,6,4,1,7,6,114,16,69,49,46,23,14,32,13,29,24,48,62,3,43,33,8,61,45,35,19,63,5,65,70,51,55,71,2,67,25,4,10,38,68,47,30,9,35,63,16,1.49, ,3, , ,5,2,1,4,1,0,6,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, , , , , , , , , , , , , , , ,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0, ,4,6,3,2,2,3,2,2,2,1,1,2,2,1,1,411.54,12,10,1,1,06-Sep-23, ,1,0, , , 
20,cy214wpwe85ednz6,06-Sep-23,"qualified,/gen_pop_dtv/DTV_SAT_USERS,/overall/qual,/gen_pop_samp",1,0,0,66,1,3,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,6,0,0,0,0,0,0,0,0,0,0,1, , ,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,100,1,2,1,2,6,1,2,1,1,8,6,7,7,4,7,4,1,1,1,3,1,1,1,1,3,1,2,3,3,3,1,1,3,3,1,1,3,3,1,1,3,3,2,3,2,3,3,3,3,1,2,3,1,1,1,2,1,1,1,1,1,3,1,3,1,3,2,1,1,3,3,3,3,3,1,1,3,3,2,4,1,1,1,1,2,3,3,2,1,8,5,5,5,5,5,4,1,9,4,24,61,19,38,45,17,42,29,3,64,52,27,62,55,1,36,50,28,59,12,68,46,5,38,41,35,43,71,1,51,16,26,67,70,60,33,20,56,9,21,44,5.37, ,2, , ,5,3,1,4,0,1,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0, ,1, ,0,0,0, , , , , ,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,5,3,5,1,2,5,3,2,5,2,1,1,2,2,3,1,1091.04,4,10,5,6,06-Sep-23, ,1,1,2,4,5
21,57btpx6f2h0hk643,06-Sep-23,"qualified,/gen_pop_samp/genAGE_3,/overall/qual,/MD_Maxdiff/ver_1",1,0,0,69,1,3,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60, ,2,1,1,2,1,1,2,2,5,7,9,8,8,5,7,4,4,3,4,4,3,3,3,3,3,3,4,3,3,3,4,3,4,3,3,3,4,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,2,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,4,3,2,1,8,7,8,8,9,8,4,1,8,7,15,64,19,60,27,12,6,23,15,14,17,22,50,40,47,46,11,70,28,43,26,71,35,4,37,1,9,31,16,54,53,2,32,7,61,56,52,68,27,65,49,6.14,1,3, , , ,2,4,5,0,1,7,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0, , ,0, , ,0,0, , , , , ,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0, ,2,6,1,1,1,3,2,5,1,2,3,2,2,3,1,1001.03,14,10,1,2,06-Sep-23, ,2,0,1,3,3
23,cd1yajua6cuseqk6,06-Sep-23,"qualified,/MD_Maxdiff/ver_200,ver_200,/overall/qual,/gen_pop_h_v",1,0,1,66,2,3,2,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0, ,0,1,0,0,0,0,0,0,0,0,0, , ,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,115, ,1,2,2,13,2,2,1,1,9,8,9,5,7,5,6,4,3,1,1,2,2,3,3,4,3,4,3,2,4,2,3,1,3,3,4,4,4,2,1,3,4,2,4,4,4,3,3,4,2,1,1,3,2,2,3,3,4,3,1,1,3,1,1,1,4,4,1,3,4,3,2,3,2,1,3,3,1,2,1,2,3,2,2,1,4,4,2,1,8,9,9,9,9,9,4,1,9,5,200,41,55,21,50,42,27,62,44,22,3,71,32,7,4,26,24,54,47,69,49,8,48,14,15,13,53,26,32,57,19,37,35,30,38,67,46,18,6,34,45,6.4, ,2, ,4, ,3,5,1,0,1,7,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0, ,0, , ,1, ,1,0,1, , ,0, , ,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,9,2,6,1,1,2,5,1,6,1,3,1,2,2,3,1,1441.73,4,10,5,6,06-Sep-23, ,3,1,3,3,3
24,d5q9k91z4h22c7vz,06-Sep-23,"qualified,/gen_pop_dtv/DTV_SAT_USERS,ver_131,/overall/qual,/gen_",1,0,0,65,1,3,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,6,0,0,0,0,0,0,0,0,0,0,1, , ,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,5,1,2,1,2,6,1,1,1,1,8,9,9,9,9,9,9,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,4,1,1,1,4,4,1,1,4,4,1,5,4,1,1,2,1,3,1,3,1,2,1,1,1,1,5,2,1,3,1,2,2,2,2,1,1,1,2,3,1,3,1,1,1,1,2,3,1,1,1,1,2,1,4,2,1,5,5,5,8,7,5,4,1,5,6,131,48,4,64,68,54,8,31,15,70,20,56,45,69,59,26,16,28,60,33,46,63,66,57,6,29,9,25,2,17,43,14,11,52,41,70,1,10,67,20,65,5.24, ,5,1,2, ,4, ,3,0,1,7,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0, , ,1, , ,0,1, , ,0, , ,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,5,4,6,1,1,1,3,2,6,5,2,1,2,2,1,1,1231.84,4,10,5,6,06-Sep-23, ,1,1,2,4,5
26,wm3y0gv12ms00qks,06-Sep-23,"qualified,/gen_pop_svod/SVOD_ONLY_USERS,ver_44,/overall/qual,/MD",1,0,0,78,2,3,2,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0, ,0,0,0,0,0,0,0,0,0,0,1, , ,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30, ,1,1,2, , ,2,1,1, , , , , , , ,3,1,1,1,1,1,2,3,1,1,3,1,1,4,1,3,1,2,1,1,3,3,1,1,3,1,1,3,3,1,3,1,3,2,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,3,3,1,3,1,1,1,1,1,3,2,1,2,1,2,1,2,3,2,1, , , , , , , , , ,4,44,25,46,29,27,63,40,7,9,21,4,54,51,33,3,14,45,37,41,57,5,28,17,22,70,34,65,55,30,33,12,71,49,48,38,16,24,8,47,32,43,11.31,4,2, , , ,3,1,5,1,0,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0, , , , ,0, , , ,0, , ,0, , ,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,3,1,4,1,1,2,3,2,4,1,2,1,2,2,3,1,1514.4,4,10,5,6,06-Sep-23, ,4,1,3,1,2
27,dau5ubgkxxh896j1,06-Sep-23,"qualified,/overall/qual,ver_30,/gen_pop_samp/genAGE_6,/MD_Maxdif",1,0,0,64,2,3,2,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,5,0,0,0,0,0,0,0,0,0,0,1, , ,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,130, ,2,1,2,5,1,1,1,1,8,8,8,9,10,9,8,1,1,1,3,1,1,1,1,1,2,4,5,1,4,4,1,4,5,4,4,5,4,1,1,3,3,4,5,3,4,3,4,4,3,1,3,4,3,3,4,2,1,1,1,1,3,1,3,4,4,1,5,3,3,3,1,3,1,1,1,4,2,5,4,1,1,1,1,4,2,1,2,1,10,10,10,10,9,10,4,1,10,1,30,37,11,70,66,50,57,14,47,26,55,32,58,21,8,48,5,65,1,15,66,34,41,52,6,18,3,39,46,63,35,33,45,68,9,29,24,21,7,18,60,7.49, ,4,1,3, ,5,2, ,0,1,7,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0, , ,0, ,0,1,0,0, ,0,0, ,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,5,6,1,1,1,3,2,6,1,2,1,2,2,3,1,1430.41,12,13,1,1,06-Sep-23, ,2,1,2,4,5
28,s648weg723xnpqwv,06-Sep-23,"qualified,/overall/qual,ver_34,/gen_pop_samp/genAGE_6,/gen_pop_m",1,0,0,71,2,3,2,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,1, , ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,50, ,2,1,1,5,1,1,1,1,8,10,10,10,10,9,10,1,1,1,2,1,1,1,2,3,3,4,5,3,5,4,1,3,2,4,3,4,5,1,2,2,3,3,5,4,3,3,4,5,1,3,5,3,2,2,2,1,1,1,1,1,1,1,3,1,3,3,3,3,5,2,3,4,3,1,1,3,3,2,2,1,1,1,1,3,4,4,2,1,5,7,7,5,7,6,4,1,5,5,34,21,9,29,47,54,1,19,25,22,41,31,17,10,7,30,60,46,23,26,47,35,16,71,39,33,32,50,6,52,42,70,3,36,44,18,19,29,1,56,23,10.36,1,3, , , ,2,4,5,0,1,7,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0, , , , , , , ,0, , , , , , ,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,4,1,6,1,1,1,3,2,6,1,2,3,2,2,3,1,1976.76,12,13,1,1,06-Sep-23, ,2,1,2,4,5
29,zsrhd3dnffkvts75,06-Sep-23,"qualified,/gen_pop_dtv/DTV_SAT_USERS,ver_91,/overall/qual,/gen_p",1,0,0,81,1,3,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,6,0,0,0,0,0,0,0,0,0,0,1, , ,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,220,1,2,1,2,6,1,1,3,2,7,2,5,6,7,4,4,2,1,4,2,2,1,1,2,1,1,1,1,1,4,2,4,1,3,4,4,2,3,1,1,2,2,2,5,4,5,3,3,5,5,1,4,3,4,4,3,4,4,3,1,2,1,1,2,1,2,4,4,2,5,1,1,1,1,1,3,2,2,3,1,2,1,4,1,2,5,4,2,1,7,6,5,6,7,8,4,1,7,5,91,20,25,15,57,51,46,32,6,19,12,52,45,33,44,37,17,36,64,34,66,9,56,53,21,28,23,62,69,30,60,54,70,11,47,65,35,33,63,34,4,9.56,2,1, ,5, ,4,3, ,0,1,7,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0, , , , , , , ,0, , , , , , ,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,3,3,6,1,1,1,3,2,6,1,4,1,2,2,3,1,1952.95,4,10,5,6,06-Sep-23, ,1,1,3,1,1
