,,,,,,
#page,,,,,,
PEERLESS INSIGHTS,,,,,,
DTV-010 Feature Prioritization,,,,,,
August 2025,,,,,,
Table 1,,,,,,
hGender: What is your gender?,,,,,,
Base: Total Respondents,,,,,,
,,,,,,
,Total,Gen Pop Sample,MVPD Users,vMVPD Users,Male,Female
,A,B,C,D,E,F
Base,3439,2620,1541,1408,1271,1349
Male,1704,1271,842,757,1271,0
,49.55%,48.51%,54.64%,53.76%,100.00%,0.00%
Female,1735,1349,699,651,0,1349
,50.45%,51.49%,45.36%,46.24%,0.00%,100.00%
Sigma,3439,2620,1541,1408,1271,1349
,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,
#page,,,,,,
PEERLESS INSIGHTS,,,,,,
DTV-010 Feature Prioritization,,,,,,
August 2025,,,,,,
Table 2,,,,,,
hAGE: Hidden: Age,,,,,,
Base: Total Respondents,,,,,,
,,,,,,
,Total,Gen Pop Sample,MVPD Users,vMVPD Users,Male,Female
,A,B,C,D,E,F
Base,3439,2620,1541,1408,1271,1349
18-34,955,773,327,391,389,384
,27.77%,29.50%,21.22%,27.77%,30.61%,28.47%
35-54,1121,845,471,550,419,426
,32.60%,32.25%,30.56%,39.06%,32.97%,31.58%
55+,1363,1002,743,467,463,539
,39.63%,38.24%,48.22%,33.17%,36.43%,39.96%
Sigma,3439,2620,1541,1408,1271,1349
,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Mean,48.62,48.09,52.20,46.44,47.51,48.64
Std.err,16.77,16.83,16.77,15.73,17.05,16.60
Std.dev,0.29,0.33,0.43,0.42,0.48,0.45
Median,47.00,47.00,53.00,43.00,45.00,48.00
,,,,,,
#page,,,,,,
PEERLESS INSIGHTS,,,,,,
DTV-010 Feature Prioritization,,,,,,
August 2025,,,,,,
Table 3,,,,,,
"S4r1: TV from a cable or satellite provider (e.g., Spectrum, Comcast, DISH, DIRECTV, U-verse, Verizon FiOS, etc.) - Which of the following do you currently subscribe to?",,,,,,
Base: Total Respondents,,,,,,
,,,,,,
,Total,Gen Pop Sample,MVPD Users,vMVPD Users,Male,Female
,A,B,C,D,E,F
Base,3439,2620,1541,1408,1271,1349
Any S4 (NET),10717,7796,5703,4849,3882,3914
,311.63%,297.56%,370.08%,344.39%,305.43%,290.14%
"S4r1: TV from a cable or satellite provider (e.g., Spectrum, Comcast, DISH, DIRECTV, U-verse, Verizon FiOS, etc.) - Which of the following do you currently subscribe to?",1573,1100,1524,563,591,509
,45.74%,41.98%,98.90%,39.99%,46.50%,37.73%
"S4r2: Live TV streamed over the internet (e.g., Sling TV, Hulu + Live TV, YouTube TV, DIRECTV STREAM, etc.) - Which of the following do you currently subscribe to?",1065,605,407,925,316,289
,30.97%,23.09%,26.41%,65.70%,24.86%,21.42%
"S4r3: Video streaming service (e.g., Netflix, Amazon Prime, Hulu, Apple TV+, Disney+, Max) - Which of the following do you currently subscribe to?",2698,2033,1176,1186,981,1052
,78.45%,77.60%,76.31%,84.23%,77.18%,77.98%
"S4r4: Wi-Fi or home internet service (e.g., Comcast, AT&T, FiOS, Spectrum, etc.) - Which of the following do you currently subscribe to?",2555,1926,1231,1036,950,976
,74.29%,73.51%,79.88%,73.58%,74.74%,72.35%
"S4r5: Cell phone service (e.g., AT&T, T-Mobile, Verizon, Cricket, etc.) - Which of the following do you currently subscribe to?",2826,2132,1365,1139,1044,1088
,82.18%,81.37%,88.58%,80.89%,82.14%,80.65%
S4r6: None of the above - Which of the following do you currently subscribe to?,67,61,0,8,25,36
,1.95%,2.33%,0.00%,0.57%,1.97%,2.67%
Sigma,10784,7857,5703,4857,3907,3950
,313.58%,299.89%,370.08%,344.96%,307.40%,292.81%
,,,,,,
#page,,,,,,
PEERLESS INSIGHTS,,,,,,
DTV-010 Feature Prioritization,,,,,,
August 2025,,,,,,
Table 4,,,,,,
S5: You mentioned that you subscribe to a cable or satellite TV provider. Which of the following do you subscribe to?,,,,,,
Base: Total Respondents,,,,,,
,,,,,,
,Total,Gen Pop Sample,MVPD Users,vMVPD Users,Male,Female
,A,B,C,D,E,F
Base,1573,1100,1524,563,591,509
Altice/Suddenlink/Cablevision,31,29,31,9,19,10
,1.97%,2.64%,2.03%,1.60%,3.21%,1.96%
Charter/Spectrum,325,289,325,94,148,141
,20.66%,26.27%,21.33%,16.70%,25.04%,27.70%
COX,70,60,70,29,36,24
,4.45%,5.45%,4.59%,5.15%,6.09%,4.72%
CenturyLink/Qwest,2,2,2,1,1,1
,0.13%,0.18%,0.13%,0.18%,0.17%,0.20%
Comcast/Xfinity,341,293,341,117,163,130
