,,,,,,,,,
#page,,,,,,,,,
PEERLESS INSIGHTS,,,,,,,,,
DTV-010 Feature Prioritization,,,,,,,,,
August 2025,,,,,,,,,
Table 1,,,,,,,,,
hGender: What is your gender?,,,,,,,,,
Base: Total Respondents,,,,,,,,,
,,,,,,,,,
,Total,Gen Pop Sample,Male,Female,Serious Sports Fan,Not Serious Sports Fan,Viewing Hours	3 or less,4 - 9 hours,10+ hours
,A,B,C,D,E,F,G,H,I
Base,3439,2620,1271,1349,543,2077,189,652,1748
Male,1704,1271,1271,0,411,860,69,300,888
,49.55%,48.51%,100.00%,0.00%,75.69%,41.41%,36.51%,46.01%,50.80%
Female,1735,1349,0,1349,132,1217,120,352,860
,50.45%,51.49%,0.00%,100.00%,24.31%,58.59%,63.49%,53.99%,49.20%
Sigma,3439,2620,1271,1349,543,2077,189,652,1748
,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,
#page,,,,,,,,,
PEERLESS INSIGHTS,,,,,,,,,
DTV-010 Feature Prioritization,,,,,,,,,
August 2025,,,,,,,,,
Table 2,,,,,,,,,
hAGE: What is your age?,,,,,,,,,
Base: Total Respondents,,,,,,,,,
,,,,,,,,,
,Total,Gen Pop Sample,Male,Female,Serious Sports Fan,Not Serious Sports Fan,Viewing Hours	3 or less,4 - 9 hours,10+ hours
,A,B,C,D,E,F,G,H,I
Base,3439,2620,1271,1349,543,2077,189,652,1748
18-34,955,773,389,384,126,647,84,296,386
,27.77%,29.50%,30.61%,28.47%,23.20%,31.15%,44.44%,45.40%,22.08%
35-54,1121,845,419,426,188,657,59,216,556
,32.60%,32.25%,32.97%,31.58%,34.62%,31.63%,31.22%,33.13%,31.81%
55+,1363,1002,463,539,229,773,46,140,806
,39.63%,38.24%,36.43%,39.96%,42.17%,37.22%,24.34%,21.47%,46.11%
Sigma,3439,2620,1271,1349,543,2077,189,652,1748
,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Mean,48.62,48.09,47.51,48.64,50.01,47.59,42.08,41.30,51.31
Std.err,0.29,0.33,0.48,0.45,0.69,0.37,1.28,0.61,0.39
Std.dev,16.77,16.83,17.05,16.60,16.00,17.00,17.62,15.55,16.28
Median,47.00,47.00,45.00,48.00,51.00,46.00,37.00,36.00,52.00
,,,,,,,,,
#page,,,,,,,,,
PEERLESS INSIGHTS,,,,,,,,,
DTV-010 Feature Prioritization,,,,,,,,,
August 2025,,,,,,,,,
Table 3,,,,,,,,,
S4. Which of the following do you currently subscribe to?,,,,,,,,,
Base: Total Respondents,,,,,,,,,
,,,,,,,,,
,Total,Gen Pop Sample,Male,Female,Serious Sports Fan,Not Serious Sports Fan,Viewing Hours	3 or less,4 - 9 hours,10+ hours
,A,B,C,D,E,F,G,H,I
Base,3439,2620,1271,1349,543,2077,189,652,1748
Any S4 (NET),10717,7796,3882,3914,1842,5954,431,1778,5540
,311.63%,297.56%,305.43%,290.14%,339.23%,286.66%,228.04%,272.70%,316.93%
"TV from a cable or satellite provider (e.g., Spectrum, Comcast, DISH, DIRECTV, U-verse, Verizon FiOS, etc.)",1573,1100,591,509,297,803,38,194,861
,45.74%,41.98%,46.50%,37.73%,54.70%,38.66%,20.11%,29.75%,49.26%
"Live TV streamed over the internet (e.g., Sling TV, Hulu + Live TV, YouTube TV, DIRECTV STREAM, etc.)",1065,605,316,289,180,425,26,149,426
,30.97%,23.09%,24.86%,21.42%,33.15%,20.46%,13.76%,22.85%,24.37%
"Video streaming service (e.g., Netflix, Amazon Prime, Hulu, Apple TV+, Disney+, Max)",2698,2033,981,1052,453,1580,110,504,1409
,78.45%,77.60%,77.18%,77.98%,83.43%,76.07%,58.20%,77.30%,80.61%
"Wi-Fi or home internet service (e.g., Comcast, AT&T, FiOS, Spectrum, etc.)",2555,1926,950,976,441,1485,113,438,1362
,74.29%,73.51%,74.74%,72.35%,81.22%,71.50%,59.79%,67.18%,77.92%
"Cell phone service (e.g., AT&T, T-Mobile, Verizon, Cricket, etc.)",2826,2132,1044,1088,471,1661,144,493,1482
,82.18%,81.37%,82.14%,80.65%,86.74%,79.97%,76.19%,75.61%,84.78%
None of the above,67,61,25,36,3,58,14,21,16
,1.95%,2.33%,1.97%,2.67%,0.55%,2.79%,7.41%,3.22%,0.92%
Sigma,10784,7857,3907,3950,1845,6012,445,1799,5556
,313.58%,299.89%,307.40%,292.81%,339.78%,289.46%,235.45%,275.92%,317.85%
,,,,,,,,,
#page,,,,,,,,,
PEERLESS INSIGHTS,,,,,,,,,
DTV-010 Feature Prioritization,,,,,,,,,
August 2025,,,,,,,,,
Table 4,,,,,,,,,
S5. You mentioned that you subscribe to a cable or satellite TV provider. Which of the following do you subscribe to?,,,,,,,,,
Base: SUBSCRIBE TO CABLE / SATELLITE PROVIDER,,,,,,,,,
,,,,,,,,,
,Total,Gen Pop Sample,Male,Female,Serious Sports Fan,Not Serious Sports Fan,Viewing Hours	3 or less,4 - 9 hours,10+ hours
,A,B,C,D,E,F,G,H,I
Base,1573,1100,591,509,297,803,38,194,861
Altice/Suddenlink/Cablevision,31,29,19,10,8,21,2,2,24
,1.97%,2.64%,3.21%,1.96%,2.69%,2.62%,5.26%,1.03%,2.79%
Charter/Spectrum,325,289,148,141,80,209,13,58,218
,20.66%,26.27%,25.04%,27.70%,26.94%,26.03%,34.21%,29.90%,25.32%
COX,70,60,36,24,12,48,3,13,43
,4.45%,5.45%,6.09%,4.72%,4.04%,5.98%,7.89%,6.70%,4.99%
CenturyLink/Qwest,2,2,1,1,0,2,0,1,1
,0.13%,0.18%,0.17%,0.20%,0.00%,0.25%,0.00%,0.52%,0.12%
Comcast/Xfinity,341,293,163,130,99,194,11,48,233
,21.68%,26.64%,27.58%,25.54%,33.33%,24.16%,28.95%,24.74%,27.06%
DIRECTV (satellite),464,133,74,59,31,102,2,19,112
,29.50%,12.09%,12.52%,11.59%,10.44%,12.70%,5.26%,9.79%,13.01%
DISH Network (satellite),115,100,52,48,27,73,0,22,77
,7.31%,9.09%,8.80%,9.43%,9.09%,9.09%,0.00%,11.34%,8.94%
Frontier,8,5,3,2,1,4,1,0,4
,0.51%,0.45%,0.51%,0.39%,0.34%,0.50%,2.63%,0.00%,0.46%
Verizon FiOS,97,80,45,35,20,60,2,15,62
,6.17%,7.27%,7.61%,6.88%,6.73%,7.47%,5.26%,7.73%,7.20%
Mediacom (including Earthlink),11,10,6,4,3,7,1,1,8
,0.70%,0.91%,1.02%,0.79%,1.01%,0.87%,2.63%,0.52%,0.93%
Other,92,84,36,48,15,69,2,10,71
,5.85%,7.64%,6.09%,9.43%,5.05%,8.59%,5.26%,5.15%,8.25%
None of the above,17,15,8,7,1,14,1,5,8
,1.08%,1.36%,1.35%,1.38%,0.34%,1.74%,2.63%,2.58%,0.93%
Sigma,1573,1100,591,509,297,803,38,194,861
,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,
#page,,,,,,,,,
PEERLESS INSIGHTS,,,,,,,,,
DTV-010 Feature Prioritization,,,,,,,,,
August 2025,,,,,,,,,
Table 5,,,,,,,,,
S5. You mentioned that you subscribe to a cable or satellite TV provider. Which of the following do you subscribe to?,,,,,,,,,
Base: Total Respondents,,,,,,,,,
,,,,,,,,,
,Total,Gen Pop Sample,Male,Female,Serious Sports Fan,Not Serious Sports Fan,Viewing Hours	3 or less,4 - 9 hours,10+ hours
,A,B,C,D,E,F,G,H,I
Base,3439,2620,1271,1349,543,2077,189,652,1748
Altice/Suddenlink/Cablevision,31,29,19,10,8,21,2,2,24
,0.90%,1.11%,1.49%,0.74%,1.47%,1.01%,1.06%,0.31%,1.37%
Charter/Spectrum,325,289,148,141,80,209,13,58,218
,9.45%,11.03%,11.64%,10.45%,14.73%,10.06%,6.88%,8.90%,12.47%
COX,70,60,36,24,12,48,3,13,43
